ID;Version;GenBank title;Release date;Organism name;Virus Lineage;Species;Family;Length;Submitters;Strain;Isolate;Geo location;Country;Collection date;Tissue/Specimen/Source;Host;Environmental;CDS count;Artificial;UNVERIFIED;1A;1A-strand;1B;1B-strand;2;2-strand;Host class;Species_ICTV
ON807320;ON807320.1;"Feline astrovirus 2 isolate G22-013 putative serine protease gene, partial cds; putative RNA-dependent RNA polymerase gene, complete cds; and capsid precursor protein gene, partial cds";28-MAR-2023;Feline astrovirus 2;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus";;Astroviridae;5989.0;Le Guyader,S.F. and Schaeffer,J.;;G22-013;France;;06-Jun-2016;sewage;environment;No;3.0;No;No;0-2295;1.0;2309-3782;1.0;3774-5989;1.0;?;
ON807319;ON807319.1;"Astrovirus MLB2 isolate G22-012 putative serine protease gene, partial cds; and putative RNA-dependent RNA polymerase and capsid precursor protein genes, complete cds";28-MAR-2023;Astrovirus MLB2;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae";;Astroviridae;6030.0;Le Guyader,S.F. and Schaeffer,J.;;G22-012;France;;10-Jan-2006;sewage;environment;No;3.0;No;No;0-2298;1.0;2312-3770;1.0;3642-6000;1.0;?;
ON807318;ON807318.1;"Mamastrovirus 1 isolate G22-001 ORF1 gene, partial cds; and ORF2 genes, complete cds";28-MAR-2023;Mamastrovirus 1;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus hominis";Mamastrovirus hominis;Astroviridae;6675.0;Le Guyader,S.F. and Schaeffer,J.;;G22-001;France;;02-Jun-2016;sewage;environment;No;3.0;No;No;NA-NA;;NA-NA;;4245-6582;1.0;?;
ON886356;ON886356.1;Human astrovirus isolate GER_2018_11 RNA-dependent RNA polymerase gene, partial cds;27-MAR-2023;Human astrovirus;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae";;Astroviridae;483.0;Jacobsen,S., Niendorf,S. and Mas Marques,A.;;GER_2018_11;Germany;;03-May-2018;stool;Homo sapiens;No;1.0;No;No;NA-NA;;0-483;1.0;NA-NA;;Mammalia;
ON886355;ON886355.1;Human astrovirus isolate GER_2018_12 RNA-dependent RNA polymerase gene, partial cds;27-MAR-2023;Human astrovirus;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae";;Astroviridae;501.0;Jacobsen,S., Niendorf,S. and Mas Marques,A.;;GER_2018_12;Germany;;20-Apr-2018;stool;Homo sapiens;No;1.0;No;No;NA-NA;;0-501;1.0;NA-NA;;Mammalia;
ON886354;ON886354.1;Human astrovirus isolate GER_2018_18 RNA-dependent RNA polymerase gene, partial cds;27-MAR-2023;Human astrovirus;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae";;Astroviridae;516.0;Jacobsen,S., Niendorf,S. and Mas Marques,A.;;GER_2018_18;Germany;;23-Nov-2018;stool;Homo sapiens;No;1.0;No;No;NA-NA;;0-516;1.0;NA-NA;;Mammalia;
ON886353;ON886353.1;Human astrovirus isolate GER_2019_19 RNA-dependent RNA polymerase gene, partial cds;27-MAR-2023;Human astrovirus;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae";;Astroviridae;516.0;Jacobsen,S., Niendorf,S. and Mas Marques,A.;;GER_2019_19;Germany;;27-May-2019;stool;Homo sapiens;No;1.0;No;No;NA-NA;;0-516;1.0;NA-NA;;Mammalia;
ON886352;ON886352.1;Human astrovirus isolate GER_2018_14 RNA-dependent RNA polymerase gene, partial cds;27-MAR-2023;Human astrovirus;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae";;Astroviridae;541.0;Jacobsen,S., Niendorf,S. and Mas Marques,A.;;GER_2018_14;Germany;;13-Feb-2018;stool;Homo sapiens;No;1.0;No;No;NA-NA;;0-541;1.0;NA-NA;;Mammalia;
ON886351;ON886351.1;Human astrovirus isolate GER_2018_09 RNA-dependent RNA polymerase gene, partial cds;27-MAR-2023;Human astrovirus;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae";;Astroviridae;552.0;Jacobsen,S., Niendorf,S. and Mas Marques,A.;;GER_2018_09;Germany;;2018;stool;Homo sapiens;No;1.0;No;No;NA-NA;;0-552;1.0;NA-NA;;Mammalia;
ON886350;ON886350.1;Human astrovirus isolate GER_2019_11 RNA-dependent RNA polymerase gene, partial cds;27-MAR-2023;Human astrovirus;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae";;Astroviridae;552.0;Jacobsen,S., Niendorf,S. and Mas Marques,A.;;GER_2019_11;Germany;;14-May-2019;stool;Homo sapiens;No;1.0;No;No;NA-NA;;0-552;1.0;NA-NA;;Mammalia;
ON886349;ON886349.1;Human astrovirus isolate GER_2018_13 RNA-dependent RNA polymerase gene, partial cds;27-MAR-2023;Human astrovirus;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae";;Astroviridae;543.0;Jacobsen,S., Niendorf,S. and Mas Marques,A.;;GER_2018_13;Germany;;23-May-2018;stool;Homo sapiens;No;1.0;No;No;NA-NA;;0-543;1.0;NA-NA;;Mammalia;
ON886348;ON886348.1;Human astrovirus isolate GER_2019_10 RNA-dependent RNA polymerase gene, partial cds;27-MAR-2023;Human astrovirus;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae";;Astroviridae;546.0;Jacobsen,S., Niendorf,S. and Mas Marques,A.;;GER_2019_10;Germany;;08-May-2019;stool;Homo sapiens;No;1.0;No;No;NA-NA;;0-546;1.0;NA-NA;;Mammalia;
ON886347;ON886347.1;Human astrovirus isolate GER_2019_04 RNA-dependent RNA polymerase gene, partial cds;27-MAR-2023;Human astrovirus;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae";;Astroviridae;555.0;Jacobsen,S., Niendorf,S. and Mas Marques,A.;;GER_2019_04;Germany;;02-Jan-2019;stool;Homo sapiens;No;1.0;No;No;NA-NA;;0-555;1.0;NA-NA;;Mammalia;
ON886346;ON886346.1;Human astrovirus isolate GER_2019_05 RNA-dependent RNA polymerase gene, partial cds;27-MAR-2023;Human astrovirus;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae";;Astroviridae;540.0;Jacobsen,S., Niendorf,S. and Mas Marques,A.;;GER_2019_05;Germany;;04-Mar-2019;stool;Homo sapiens;No;1.0;No;No;NA-NA;;0-540;1.0;NA-NA;;Mammalia;
ON886345;ON886345.1;Human astrovirus isolate GER_2019_22 RNA-dependent RNA polymerase gene, partial cds;27-MAR-2023;Human astrovirus;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae";;Astroviridae;546.0;Jacobsen,S., Niendorf,S. and Mas Marques,A.;;GER_2019_22;Germany;;04-Dec-2019;stool;Homo sapiens;No;1.0;No;No;NA-NA;;0-546;1.0;NA-NA;;Mammalia;
ON886344;ON886344.1;Human astrovirus isolate GER_2018_02 RNA-dependent RNA polymerase gene, partial cds;27-MAR-2023;Human astrovirus;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae";;Astroviridae;553.0;Jacobsen,S., Niendorf,S. and Mas Marques,A.;;GER_2018_02;Germany;;23-Jan-2018;stool;Homo sapiens;No;1.0;No;No;NA-NA;;0-553;1.0;NA-NA;;Mammalia;
ON886343;ON886343.1;Human astrovirus isolate GER_2018_17 RNA-dependent RNA polymerase gene, partial cds;27-MAR-2023;Human astrovirus;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae";;Astroviridae;546.0;Jacobsen,S., Niendorf,S. and Mas Marques,A.;;GER_2018_17;Germany;;23-Nov-2018;stool;Homo sapiens;No;1.0;No;No;NA-NA;;0-546;1.0;NA-NA;;Mammalia;
ON886342;ON886342.1;Human astrovirus isolate GER_2019_12 RNA-dependent RNA polymerase gene, partial cds;27-MAR-2023;Human astrovirus;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae";;Astroviridae;582.0;Jacobsen,S., Niendorf,S. and Mas Marques,A.;;GER_2019_12;Germany;;2019;stool;Homo sapiens;No;1.0;No;No;NA-NA;;0-582;1.0;NA-NA;;Mammalia;
ON886341;ON886341.1;Human astrovirus isolate GER_2018_01 RNA-dependent RNA polymerase gene, partial cds;27-MAR-2023;Human astrovirus;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae";;Astroviridae;543.0;Jacobsen,S., Niendorf,S. and Mas Marques,A.;;GER_2018_01;Germany;;22-Jan-2018;stool;Homo sapiens;No;1.0;No;No;NA-NA;;0-543;1.0;NA-NA;;Mammalia;
ON886340;ON886340.1;Human astrovirus isolate GER_2019_01 RNA-dependent RNA polymerase gene, partial cds;27-MAR-2023;Human astrovirus;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae";;Astroviridae;549.0;Jacobsen,S., Niendorf,S. and Mas Marques,A.;;GER_2019_01;Germany;;29-Nov-2018;stool;Homo sapiens;No;1.0;No;No;NA-NA;;0-549;1.0;NA-NA;;Mammalia;
ON886339;ON886339.1;Human astrovirus isolate GER_2018_19 RNA-dependent RNA polymerase gene, partial cds;27-MAR-2023;Human astrovirus;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae";;Astroviridae;553.0;Jacobsen,S., Niendorf,S. and Mas Marques,A.;;GER_2018_19;Germany;;29-Nov-2018;stool;Homo sapiens;No;1.0;No;No;NA-NA;;0-553;1.0;NA-NA;;Mammalia;
ON886338;ON886338.1;Human astrovirus isolate GER_2018_16 RNA-dependent RNA polymerase gene, partial cds;27-MAR-2023;Human astrovirus;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae";;Astroviridae;549.0;Jacobsen,S., Niendorf,S. and Mas Marques,A.;;GER_2018_16;Germany;;28-Sep-2018;stool;Homo sapiens;No;1.0;No;No;NA-NA;;0-549;1.0;NA-NA;;Mammalia;
ON886337;ON886337.1;Human astrovirus isolate GER_2018_03 RNA-dependent RNA polymerase gene, partial cds;27-MAR-2023;Human astrovirus;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae";;Astroviridae;552.0;Jacobsen,S., Niendorf,S. and Mas Marques,A.;;GER_2018_03;Germany;;08-Feb-2018;stool;Homo sapiens;No;1.0;No;No;NA-NA;;0-552;1.0;NA-NA;;Mammalia;
ON886336;ON886336.1;Human astrovirus isolate GER_2018_15 RNA-dependent RNA polymerase gene, partial cds;27-MAR-2023;Human astrovirus;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae";;Astroviridae;561.0;Jacobsen,S., Niendorf,S. and Mas Marques,A.;;GER_2018_15;Germany;;11-Dec-2018;stool;Homo sapiens;No;1.0;No;No;NA-NA;;0-561;1.0;NA-NA;;Mammalia;
ON886335;ON886335.1;Human astrovirus isolate GER_2018_07 RNA-dependent RNA polymerase gene, partial cds;27-MAR-2023;Human astrovirus;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae";;Astroviridae;555.0;Jacobsen,S., Niendorf,S. and Mas Marques,A.;;GER_2018_07;Germany;;14-Mar-2018;stool;Homo sapiens;No;1.0;No;No;NA-NA;;0-555;1.0;NA-NA;;Mammalia;
ON886334;ON886334.1;Human astrovirus isolate GER_2019_20 RNA-dependent RNA polymerase gene, partial cds;27-MAR-2023;Human astrovirus;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae";;Astroviridae;552.0;Jacobsen,S., Niendorf,S. and Mas Marques,A.;;GER_2019_20;Germany;;20-Jul-2019;stool;Homo sapiens;No;1.0;No;No;NA-NA;;0-552;1.0;NA-NA;;Mammalia;
ON886333;ON886333.1;Human astrovirus isolate GER_2019_18 RNA-dependent RNA polymerase gene, partial cds;27-MAR-2023;Human astrovirus;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae";;Astroviridae;564.0;Jacobsen,S., Niendorf,S. and Mas Marques,A.;;GER_2019_18;Germany;;22-May-2019;stool;Homo sapiens;No;1.0;No;No;NA-NA;;0-564;1.0;NA-NA;;Mammalia;
ON886332;ON886332.1;Human astrovirus isolate GER_2019_14 RNA-dependent RNA polymerase gene, partial cds;27-MAR-2023;Human astrovirus;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae";;Astroviridae;603.0;Jacobsen,S., Niendorf,S. and Mas Marques,A.;;GER_2019_14;Germany;;2019;stool;Homo sapiens;No;1.0;No;No;NA-NA;;0-603;1.0;NA-NA;;Mammalia;
ON886331;ON886331.1;Human astrovirus isolate GER_2019_08 RNA-dependent RNA polymerase gene, partial cds;27-MAR-2023;Human astrovirus;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae";;Astroviridae;579.0;Jacobsen,S., Niendorf,S. and Mas Marques,A.;;GER_2019_08;Germany;;11-Mar-2019;stool;Homo sapiens;No;1.0;No;No;NA-NA;;0-579;1.0;NA-NA;;Mammalia;
ON886330;ON886330.1;Human astrovirus isolate GER_2019_07 RNA-dependent RNA polymerase gene, partial cds;27-MAR-2023;Human astrovirus;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae";;Astroviridae;579.0;Jacobsen,S., Niendorf,S. and Mas Marques,A.;;GER_2019_07;Germany;;2019;stool;Homo sapiens;No;1.0;No;No;NA-NA;;0-579;1.0;NA-NA;;Mammalia;
ON932808;ON932808.1;Rodent astrovirus isolate AstroV-HMU-5 capsid protein gene, partial cds;25-MAR-2023;Rodent astrovirus;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus";;Astroviridae;1242.0;Li,Y., Li,Z., Peng,R., Du,J., Yin,F. and Tang,C.;;AstroV-HMU-5;China;;Nov-2018;throat swab;Rattus tanezumi;No;1.0;No;No;NA-NA;;NA-NA;;0-1242;1.0;Mammalia;
ON932807;ON932807.1;Rodent astrovirus isolate AstroV-HMU-5 nonstructural polyprotein gene, partial cds;25-MAR-2023;Rodent astrovirus;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus";;Astroviridae;1372.0;Li,Y., Li,Z., Peng,R., Du,J., Yin,F. and Tang,C.;;AstroV-HMU-5;China;;Nov-2018;throat swab;Rattus tanezumi;No;1.0;No;No;NA-NA;;3-1372;1.0;NA-NA;;Mammalia;
ON932806;ON932806.1;Rodent astrovirus isolate AstroV-HMU-4 nonstructural polyprotein and capsid protein genes, partial cds;25-MAR-2023;Rodent astrovirus;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus";;Astroviridae;4717.0;Li,Y., Li,Z., Peng,R., Du,J., Yin,F. and Tang,C.;;AstroV-HMU-4;China;;Nov-2019;anal swab;Rattus tanezumi;No;2.0;No;No;NA-NA;;NA-NA;;4159-4717;1.0;Mammalia;
ON932805;ON932805.1;Rodent astrovirus isolate AstroV-HMU-3 nonstructural polyprotein and capsid protein genes, partial cds;25-MAR-2023;Rodent astrovirus;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus";;Astroviridae;3833.0;Li,Y., Li,Z., Peng,R., Du,J., Yin,F. and Tang,C.;;AstroV-HMU-3;China;;Nov-2019;anal swab;Rattus tanezumi;No;2.0;No;No;NA-NA;;NA-NA;;1423-3833;1.0;Mammalia;
OQ630461;OQ630461.1;Human astrovirus 1 isolate SEN_21_286_S1, partial genome;22-MAR-2023;Human astrovirus 1;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus hominis";Mamastrovirus hominis;Astroviridae;6387.0;Kebe,O., Ndiaye,N., Thiaw,F. III and Faye,M.;;SEN_21_286_S1;Guinea;;13-Jan-2021;Stool Sample of non-polio AFP;Homo sapiens;No;3.0;No;No;2-2741;1.0;2668-4228;1.0;4220-6387;1.0;Mammalia;
OP292324;OP292324.1;Human astrovirus 3 strain Hu/HAsV-3/25537/BLR/2020 capsid protein gene, partial cds;22-MAR-2023;Human astrovirus 3;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus hominis";Mamastrovirus hominis;Astroviridae;383.0;Shilova,Y.A., Paklonskaya,N.V. and Amvrosieva,T.V.;Hu/HAsV-3/25537/BLR/2020;25537;Belarus;;2021;feces;Homo sapiens;No;1.0;No;No;NA-NA;;NA-NA;;0-383;1.0;Mammalia;
OP292323;OP292323.1;Human astrovirus 3 strain Hu/HAsV-3/26284/BLR/2021 capsid protein gene, partial cds;22-MAR-2023;Human astrovirus 3;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus hominis";Mamastrovirus hominis;Astroviridae;383.0;Shilova,Y.A., Paklonskaya,N.V. and Amvrosieva,T.V.;Hu/HAsV-3/26284/BLR/2021;26284;Belarus;;2020;feces;Homo sapiens;No;1.0;No;No;NA-NA;;NA-NA;;0-383;1.0;Mammalia;
OP292322;OP292322.1;Human astrovirus 4 strain Hu/HAsV-4/23264/BLR/2020 capsid protein gene, partial cds;22-MAR-2023;Human astrovirus 4;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus hominis";Mamastrovirus hominis;Astroviridae;383.0;Shilova,Y.A., Paklonskaya,N.V. and Amvrosieva,T.V.;Hu/HAsV-4/23264/BLR/2020;23264;Belarus;;2021;feces;Homo sapiens;No;1.0;No;No;NA-NA;;NA-NA;;0-383;1.0;Mammalia;
OP292321;OP292321.1;Human astrovirus 4 strain Hu/HAsV-4/26710/BLR/2021 capsid protein gene, partial cds;22-MAR-2023;Human astrovirus 4;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus hominis";Mamastrovirus hominis;Astroviridae;383.0;Shilova,Y.A., Paklonskaya,N.V. and Amvrosieva,T.V.;Hu/HAsV-4/26710/BLR/2021;26710;Belarus;;2020;feces;Homo sapiens;No;1.0;No;No;NA-NA;;NA-NA;;0-383;1.0;Mammalia;
OP292320;OP292320.1;Human astrovirus 4 strain Hu/HAsV-4/27210/BLR/2021 capsid protein gene, partial cds;22-MAR-2023;Human astrovirus 4;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus hominis";Mamastrovirus hominis;Astroviridae;383.0;Shilova,Y.A., Paklonskaya,N.V. and Amvrosieva,T.V.;Hu/HAsV-4/27210/BLR/2021;27210;Belarus;;2020;feces;Homo sapiens;No;1.0;No;No;NA-NA;;NA-NA;;0-383;1.0;Mammalia;
OP292319;OP292319.1;Human astrovirus 4 strain Hu/HAsV-4/18047/BLR/2018 capsid protein gene, partial cds;22-MAR-2023;Human astrovirus 4;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus hominis";Mamastrovirus hominis;Astroviridae;383.0;Shilova,Y.A., Paklonskaya,N.V. and Amvrosieva,T.V.;Hu/HAsV-4/18047/BLR/2018;18047;Belarus;;2018;feces;Homo sapiens;No;1.0;No;No;NA-NA;;NA-NA;;0-383;1.0;Mammalia;
OP621341;OP621341.1;Goose astrovirus strain AAstV/Goose/CHN/2019/SD03, complete genome;21-MAR-2023;Goose astrovirus;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus";;Astroviridae;7175.0;Ren,Z., Zhang,Q. and Su,J.;AAstV/Goose/CHN/2019/SD03;;China: Shandong province;;2019-10-09;liver, kidney;goose;No;3.0;No;No;10-3265;1.0;3255-4806;1.0;4824-6939;1.0;Aves;
OP621340;OP621340.1;Goose astrovirus strain AAstV/Goose/CHN/2019/JX03, complete genome;21-MAR-2023;Goose astrovirus;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus";;Astroviridae;7175.0;Ren,Z., Zhang,Q. and Su,J.;AAstV/Goose/CHN/2019/JX03;;China: Jiangxi province;;2019-12-02;liver, kidney;goose;No;3.0;No;No;10-3265;1.0;3255-4806;1.0;4824-6939;1.0;Aves;
OP621339;OP621339.1;Goose astrovirus strain AAstV/Goose/CHN/2019/JX02, complete genome;21-MAR-2023;Goose astrovirus;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus";;Astroviridae;7175.0;Ren,Z., Zhang,Q. and Su,J.;AAstV/Goose/CHN/2019/JX02;;China: Jiangxi province;;2019-12-02;liver, kidney;goose;No;3.0;No;No;10-3265;1.0;3255-4806;1.0;4824-6939;1.0;Aves;
OP621338;OP621338.1;Goose astrovirus strain AAstV/Goose/CHN/2018/JX01, complete genome;21-MAR-2023;Goose astrovirus;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus";;Astroviridae;7175.0;Ren,Z., Zhang,Q. and Su,J.;AAstV/Goose/CHN/2018/JX01;;China: Jiangxi province;;2018-03-29;liver, kidney;goose;No;3.0;No;No;10-3265;1.0;3255-4806;1.0;4824-6939;1.0;Aves;
OP621337;OP621337.1;Goose astrovirus strain AAstV/Goose/CHN/2018/JS01, complete genome;21-MAR-2023;Goose astrovirus;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus";;Astroviridae;7175.0;Ren,Z., Zhang,Q. and Su,J.;AAstV/Goose/CHN/2018/JS01;;China: Jiangsu province;;2018-02-06;liver, kidney;goose;No;3.0;No;No;10-3265;1.0;3255-4806;1.0;4824-6939;1.0;Aves;
OP621336;OP621336.1;Goose astrovirus strain AAstV/Goose/CHN/2018/HB02, complete genome;21-MAR-2023;Goose astrovirus;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus";;Astroviridae;7175.0;Ren,Z., Zhang,Q. and Su,J.;AAstV/Goose/CHN/2018/HB02;;China: Hebei province;;2018-04-22;liver, kidney;goose;No;3.0;No;No;10-3265;1.0;3255-4806;1.0;4824-6939;1.0;Aves;
OP621335;OP621335.1;Goose astrovirus strain AAstV/Goose/CHN/2021/AH02, complete genome;21-MAR-2023;Goose astrovirus;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus";;Astroviridae;7175.0;Ren,Z., Zhang,Q. and Su,J.;AAstV/Goose/CHN/2021/AH02;;China: Anhui province;;2021-05-08;liver, kidney;goose;No;3.0;No;No;10-3265;1.0;3255-4806;1.0;4824-6939;1.0;Aves;
OP621334;OP621334.1;Goose astrovirus strain AAstV/Goose/CHN/2019/AH01, complete genome;21-MAR-2023;Goose astrovirus;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus";;Astroviridae;7175.0;Ren,Z., Zhang,Q. and Su,J.;AAstV/Goose/CHN/2019/AH01;;China: Anhui province;;2019-11-15;liver, kidney;goose;No;3.0;No;No;10-3265;1.0;3255-4806;1.0;4824-6939;1.0;Aves;
OP621333;OP621333.1;Goose astrovirus strain AAstV/Goose/CHN/2019/JX-Embryo, complete genome;21-MAR-2023;Goose astrovirus;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus";;Astroviridae;7175.0;Ren,Z., Zhang,Q. and Su,J.;AAstV/Goose/CHN/2019/JX-Embryo;;China: Jiangxi province;;2019-12-16;liver, kidney;goose embryo;No;3.0;No;No;10-3265;1.0;3255-4806;1.0;4824-6939;1.0;Aves;
OP621332;OP621332.1;Goose astrovirus strain AAstV/Goose/CHN/2020/SD04, complete genome;21-MAR-2023;Goose astrovirus;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus";;Astroviridae;7175.0;Ren,Z., Zhang,Q. and Su,J.;AAstV/Goose/CHN/2020/SD04;;China: Shandong province;;2020-11-18;liver, kidney;goose;No;3.0;No;No;10-3265;1.0;3255-4806;1.0;4824-6939;1.0;Aves;
OP621331;OP621331.1;Goose astrovirus strain AAstV/Goose/CHN/2019/SD02, complete genome;21-MAR-2023;Goose astrovirus;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus";;Astroviridae;7175.0;Ren,Z., Zhang,Q. and Su,J.;AAstV/Goose/CHN/2019/SD02;;China: Shandong province;;2019-05-03;liver, kidney;goose;No;3.0;No;No;10-3265;1.0;3255-4806;1.0;4824-6939;1.0;Aves;
OP621330;OP621330.1;Goose astrovirus strain AAstV/Goose/CHN/2021/JX04, complete genome;21-MAR-2023;Goose astrovirus;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus";;Astroviridae;7175.0;Ren,Z., Zhang,Q. and Su,J.;AAstV/Goose/CHN/2021/JX04;;China: Jiangxi province;;2021-03-16;liver, kidney;goose;No;3.0;No;No;10-3265;1.0;3255-4806;1.0;4824-6939;1.0;Aves;
OP484924;OP484924.1;Goose astrovirus strain AAstV/Goose/CHN/2018/HB01, complete genome;21-MAR-2023;Goose astrovirus;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus";;Astroviridae;7175.0;Ren,Z., Zhang,Q. and Su,J.;AAstV/Goose/CHN/2018/HB01;;China: Hebei province;;2018-04-11;liver, kidney;goose;No;3.0;No;No;10-3265;1.0;3255-4806;1.0;4824-6939;1.0;Aves;
OP484923;OP484923.1;Goose astrovirus strain AAstV/Goose/CHN/2018/GD01, complete genome;21-MAR-2023;Goose astrovirus;"Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus";;Astroviridae;7175.0;Ren,Z., Zhang,Q. and Su,J.;AAstV/Goose/CHN/2018/GD01;;China: Guangdong province;;2018-03-09;liver, kidney;goose;No;3.0;No;No;10-3265;1.0;3255-4806;1.0;4824-6939;1.0;Aves;
