GBAC,1A,1A-strand,1B,1B-strand,2,2-strand
OQ943882,NA-NA,NA,NA-NA,NA,0-2352,1
OQ943881,NA-NA,NA,NA-NA,NA,0-2352,1
OQ943880,NA-NA,NA,NA-NA,NA,0-2352,1
OQ943879,NA-NA,NA,NA-NA,NA,0-2352,1
OQ943878,NA-NA,NA,NA-NA,NA,0-2352,1
OQ943877,NA-NA,NA,NA-NA,NA,0-2316,1
OQ943876,NA-NA,NA,NA-NA,NA,0-2316,1
OQ943875,NA-NA,NA,NA-NA,NA,0-2316,1
OQ943874,NA-NA,NA,NA-NA,NA,0-2316,1
OQ943873,NA-NA,NA,NA-NA,NA,0-2316,1
OQ943872,NA-NA,NA,NA-NA,NA,0-2316,1
OQ943871,NA-NA,NA,NA-NA,NA,0-2316,1
OQ943870,NA-NA,NA,NA-NA,NA,0-2316,1
OQ943869,NA-NA,NA,NA-NA,NA,0-2316,1
OQ943868,NA-NA,NA,NA-NA,NA,0-2316,1
OQ943867,NA-NA,NA,NA-NA,NA,0-2316,1
OQ943866,NA-NA,NA,NA-NA,NA,0-2316,1
OQ943865,NA-NA,NA,NA-NA,NA,0-2316,1
OQ943864,NA-NA,NA,NA-NA,NA,0-2316,1
OQ943863,NA-NA,NA,NA-NA,NA,0-2316,1
OQ943862,NA-NA,NA,NA-NA,NA,0-2400,1
OQ943861,NA-NA,NA,NA-NA,NA,0-2400,1
OQ943860,NA-NA,NA,NA-NA,NA,0-2400,1
OQ943859,NA-NA,NA,NA-NA,NA,0-2364,1
OQ943858,NA-NA,NA,NA-NA,NA,0-2364,1
OQ943857,NA-NA,NA,NA-NA,NA,0-2364,1
OQ943856,NA-NA,NA,NA-NA,NA,0-2364,1
OQ943855,NA-NA,NA,NA-NA,NA,0-2364,1
OQ943854,NA-NA,NA,NA-NA,NA,0-2364,1
OQ943853,NA-NA,NA,NA-NA,NA,0-2364,1
OQ943852,NA-NA,NA,NA-NA,NA,0-2364,1
OQ943851,NA-NA,NA,NA-NA,NA,0-2364,1
OQ943850,NA-NA,NA,NA-NA,NA,0-2364,1
OQ943849,NA-NA,NA,NA-NA,NA,0-2364,1
OQ943848,NA-NA,NA,NA-NA,NA,0-2364,1
OQ943847,NA-NA,NA,NA-NA,NA,0-2364,1
OQ943846,NA-NA,NA,NA-NA,NA,0-2364,1
OQ909424,0-3255,1,3245-4796,1,4814-6929,1
ON382522,38-3293,1,3283-4834,1,4852-6967,1
ON382521,13-3268,1,3258-4809,1,4827-6942,1
ON382520,34-3289,1,3279-4830,1,4848-6963,1
ON382519,43-3298,1,3288-4839,1,4857-6972,1
OQ076692,NA-NA,NA,3294-4839,1,4868-6983,1
OQ079564,NA-NA,NA,2-375,1,NA-NA,NA
OQ079562,NA-NA,NA,0-367,1,NA-NA,NA
OQ079561,NA-NA,NA,1-249,1,NA-NA,NA
OQ079560,NA-NA,NA,2-367,1,NA-NA,NA
OQ079559,NA-NA,NA,0-401,1,NA-NA,NA
OQ079558,NA-NA,NA,1-404,1,NA-NA,NA
OQ685946,69-3363,1,3344-4904,1,4928-7094,1
OQ685945,21-3063,1,3131-4583,1,4602-6615,1
OP293097,NA-NA,NA,NA-NA,NA,0-1282,1
OQ968312,42-2706,1,2642-4229,1,4218-6414,1
OQ968311,5-2369,1,2305-3841,1,3833-6104,1
OQ968310,14-2378,1,2314-3850,1,3842-6113,1
OQ968309,14-2378,1,2314-3850,1,3842-6113,1
OQ968308,14-2378,1,2314-3850,1,3842-6113,1
OQ968307,84-2847,1,2786-4334,1,4326-6690,1
OQ968306,84-2847,1,2786-4334,1,4326-6690,1
OQ968305,84-2847,1,2786-4334,1,4326-6690,1
OQ968304,83-2846,1,2785-4333,1,4325-6689,1
OQ968303,82-2845,1,2784-4332,1,4324-6688,1
OQ968302,84-2847,1,2786-4334,1,4326-6690,1
OP967012,NA-NA,NA,2-667,1,NA-NA,NA
OP967011,NA-NA,NA,2-667,1,NA-NA,NA
OP967010,NA-NA,NA,2-667,1,NA-NA,NA
OP967009,NA-NA,NA,2-667,1,NA-NA,NA
OP967008,NA-NA,NA,2-667,1,NA-NA,NA
OP967007,NA-NA,NA,2-667,1,NA-NA,NA
OP967006,NA-NA,NA,2-667,1,NA-NA,NA
OP967005,NA-NA,NA,2-667,1,NA-NA,NA
OP967004,NA-NA,NA,2-667,1,NA-NA,NA
OP967003,NA-NA,NA,2-667,1,NA-NA,NA
OP764611,NA-NA,NA,3301-4852,1,4870-6985,1
OP776630,22-3304,1,3294-4839,1,4868-6983,1
OP776629,18-3273,1,3263-4814,1,4832-6947,1
OM256543,NA-NA,NA,0-330,1,NA-NA,NA
OM256542,NA-NA,NA,0-330,1,NA-NA,NA
OM256541,NA-NA,NA,0-330,1,NA-NA,NA
OM256540,NA-NA,NA,0-330,1,NA-NA,NA
OP696941,NA-NA,NA,0-343,1,NA-NA,NA
OP696940,NA-NA,NA,0-327,1,NA-NA,NA
OP696939,NA-NA,NA,0-336,1,NA-NA,NA
OP696938,NA-NA,NA,0-314,1,NA-NA,NA
OP696937,NA-NA,NA,0-348,1,NA-NA,NA
OP696936,NA-NA,NA,0-359,1,NA-NA,NA
OP696935,NA-NA,NA,0-356,1,NA-NA,NA
OP696934,NA-NA,NA,0-350,1,NA-NA,NA
OP696933,NA-NA,NA,0-359,1,NA-NA,NA
OP696932,NA-NA,NA,0-223,1,NA-NA,NA
OP681161,NA-NA,NA,NA-NA,NA,0-2451,1
OP681160,NA-NA,NA,NA-NA,NA,0-2451,1
OP681159,NA-NA,NA,NA-NA,NA,0-2451,1
OP681158,NA-NA,NA,NA-NA,NA,0-2445,1
OP681157,NA-NA,NA,NA-NA,NA,0-2445,1
OP681156,NA-NA,NA,NA-NA,NA,0-2445,1
OP681155,NA-NA,NA,NA-NA,NA,0-2440,1
OP681154,NA-NA,NA,NA-NA,NA,0-2440,1
OQ599876,NA-NA,NA,NA-NA,NA,4279-6578,1
OP643782,NA-NA,NA,NA-NA,NA,0-2238,1
OP643781,NA-NA,NA,NA-NA,NA,0-2208,1
OP643780,NA-NA,NA,NA-NA,NA,0-2208,1
OP643779,NA-NA,NA,NA-NA,NA,0-2226,1
OP643778,NA-NA,NA,NA-NA,NA,0-2505,1
OP643777,NA-NA,NA,NA-NA,NA,0-2568,1
OP643776,NA-NA,NA,NA-NA,NA,0-2496,1
OP643775,NA-NA,NA,NA-NA,NA,0-2499,1
OP643774,NA-NA,NA,NA-NA,NA,0-2465,1
OP643773,NA-NA,NA,NA-NA,NA,0-2481,1
OP643772,NA-NA,NA,NA-NA,NA,0-2298,1
OP643771,NA-NA,NA,NA-NA,NA,0-2319,1
OP643770,NA-NA,NA,NA-NA,NA,0-2319,1
OP643769,NA-NA,NA,NA-NA,NA,0-2313,1
OP594725,10-2626,1,10-2671,1,4183-6460,1
OQ633094,NA-NA,NA,NA-NA,NA,0-2271,1
OQ633093,NA-NA,NA,NA-NA,NA,0-2352,1
OQ633092,NA-NA,NA,NA-NA,NA,0-2364,1
LC732194,NA-NA,NA,1-319,1,308-913,1
LC732193,NA-NA,NA,0-327,1,316-921,1
LC732192,NA-NA,NA,1-688,1,680-852,1
LC732191,NA-NA,NA,1-688,1,680-852,1
LC732190,NA-NA,NA,0-663,1,655-833,1
LC732189,NA-NA,NA,2-680,1,672-850,1
LC732188,NA-NA,NA,1-694,1,686-863,1
LC732187,NA-NA,NA,2-626,1,618-796,1
LC732186,NA-NA,NA,1-676,1,668-849,1
LC732185,NA-NA,NA,0-684,1,676-848,1
LC732184,NA-NA,NA,1-691,1,683-859,1
LC732183,NA-NA,NA,1-684,1,680-684,1
LC732182,NA-NA,NA,2-692,1,684-861,1
LC732181,NA-NA,NA,2-674,1,666-843,1
LC732180,NA-NA,NA,2-686,1,678-855,1
LC732179,NA-NA,NA,0-672,1,664-841,1
LC732178,NA-NA,NA,2-686,1,678-855,1
LC732177,NA-NA,NA,2-692,1,684-841,1
LC732176,NA-NA,NA,2-686,1,678-855,1
LC732175,NA-NA,NA,2-686,1,678-855,1
LC732174,NA-NA,NA,0-684,1,676-853,1
LC732173,NA-NA,NA,1-691,1,683-865,1
LC732172,NA-NA,NA,2-692,1,684-861,1
LC732171,NA-NA,NA,2-692,1,684-861,1
LC732170,NA-NA,NA,2-602,1,594-779,1
LC732169,NA-NA,NA,1-691,1,683-860,1
LC732168,NA-NA,NA,1-691,1,683-864,1
LC732167,NA-NA,NA,2-692,1,684-861,1
LC732166,NA-NA,NA,0-684,1,676-853,1
LC732165,NA-NA,NA,1-688,1,680-858,1
LC732164,NA-NA,NA,2-686,1,678-859,1
LC732163,NA-NA,NA,2-692,1,684-861,1
LC732162,NA-NA,NA,1-691,1,683-860,1
LC732161,NA-NA,NA,2-686,1,678-860,1
LC732160,NA-NA,NA,0-693,1,685-866,1
LC732159,NA-NA,NA,0-690,1,682-859,1
LC732158,NA-NA,NA,1-694,1,686-863,1
LC732157,NA-NA,NA,1-694,1,686-863,1
LC732156,NA-NA,NA,0-684,1,676-853,1
LC732155,NA-NA,NA,1-694,1,686-863,1
LC732154,NA-NA,NA,2-680,1,672-849,1
LC732153,NA-NA,NA,1-694,1,686-848,1
LC732152,NA-NA,NA,1-694,1,686-863,1
LC732151,NA-NA,NA,1-694,1,686-863,1
LC732150,NA-NA,NA,1-694,1,686-863,1
LC732149,NA-NA,NA,2-686,1,678-855,1
LC732148,NA-NA,NA,2-686,1,678-855,1
LC732147,NA-NA,NA,1-697,1,689-862,1
LC732146,NA-NA,NA,1-252,1,NA-NA,NA
LC732145,NA-NA,NA,1-697,1,689-866,1
LC732144,NA-NA,NA,0-696,1,688-865,1
LC732143,NA-NA,NA,1-694,1,686-863,1
LC732142,NA-NA,NA,1-697,1,689-866,1
LC732141,NA-NA,NA,2-683,1,675-852,1
LC732140,NA-NA,NA,1-694,1,686-863,1
LC732139,NA-NA,NA,2-686,1,678-855,1
LC732138,NA-NA,NA,2-686,1,678-855,1
LC732137,NA-NA,NA,2-686,1,678-851,1
LC732136,NA-NA,NA,0-684,1,676-853,1
LC732135,NA-NA,NA,2-683,1,675-857,1
LC732134,NA-NA,NA,2-686,1,678-855,1
LC732133,NA-NA,NA,1-688,1,680-857,1
LC732132,NA-NA,NA,0-684,1,676-853,1
LC732131,NA-NA,NA,1-694,1,686-863,1
LC732130,NA-NA,NA,1-694,1,686-863,1
LC732129,NA-NA,NA,1-694,1,686-863,1
LC732128,NA-NA,NA,1-694,1,686-863,1
LC732127,NA-NA,NA,0-690,1,682-859,1
LC732126,NA-NA,NA,1-694,1,686-868,1
LC732125,0-2325,1,2261-3797,1,3789-6033,1
LC732124,0-2760,1,2699-4247,1,4239-6610,1
LC732123,0-2763,1,2702-4250,1,4242-6627,1
LC732122,0-2763,1,2702-4250,1,4242-6627,1
OQ615871,NA-NA,NA,NA-NA,NA,0-2466,1
OQ615870,NA-NA,NA,NA-NA,NA,0-2454,1
OQ615869,NA-NA,NA,NA-NA,NA,0-2445,1
OQ615868,NA-NA,NA,NA-NA,NA,0-2445,1
OQ615867,NA-NA,NA,NA-NA,NA,0-2445,1
OP221744,NA-NA,NA,NA-NA,NA,0-2124,1
OP221743,NA-NA,NA,NA-NA,NA,0-2115,1
OP221742,NA-NA,NA,NA-NA,NA,0-2115,1
OP221741,NA-NA,NA,NA-NA,NA,0-2115,1
OP221740,NA-NA,NA,NA-NA,NA,0-2115,1
OP221739,NA-NA,NA,NA-NA,NA,0-2115,1
OP221738,NA-NA,NA,NA-NA,NA,0-2115,1
OP221737,NA-NA,NA,NA-NA,NA,0-2115,1
OP221736,NA-NA,NA,NA-NA,NA,0-2115,1
OP221735,NA-NA,NA,NA-NA,NA,0-2115,1
OP221734,NA-NA,NA,NA-NA,NA,0-2115,1
OP221733,NA-NA,NA,NA-NA,NA,0-2115,1
OP221732,NA-NA,NA,NA-NA,NA,0-2115,1
OP221731,NA-NA,NA,NA-NA,NA,0-2115,1
OP221730,NA-NA,NA,NA-NA,NA,0-2115,1
OP221729,NA-NA,NA,NA-NA,NA,0-2115,1
OP221728,NA-NA,NA,NA-NA,NA,0-2115,1
LC732014,NA-NA,NA,2-695,1,687-1006,1
LC732013,NA-NA,NA,1-310,1,302-652,1
LC732012,NA-NA,NA,1-697,1,689-1261,1
LC732011,NA-NA,NA,2-710,1,702-1255,1
LC732010,NA-NA,NA,0-672,1,664-1230,1
LC732009,NA-NA,NA,1-709,1,701-1276,1
LC732008,NA-NA,NA,2-710,1,702-1272,1
LC732007,NA-NA,NA,1-709,1,701-1254,1
LC732006,NA-NA,NA,1-697,1,689-1044,1
LC732005,NA-NA,NA,2-710,1,702-1281,1
LC732004,NA-NA,NA,2-710,1,702-1277,1
LC732003,NA-NA,NA,2-704,1,696-1266,1
LC732002,NA-NA,NA,2-701,1,693-1005,1
LC732001,NA-NA,NA,2-704,1,696-1248,1
LC732000,NA-NA,NA,2-704,1,696-1265,1
LC731999,NA-NA,NA,1-697,1,689-1003,1
LC731998,NA-NA,NA,2-704,1,696-1265,1
LC731997,NA-NA,NA,2-704,1,696-1271,1
LC731996,NA-NA,NA,2-704,1,696-1271,1
LC731995,NA-NA,NA,1-709,1,701-1241,1
LC731994,NA-NA,NA,2-701,1,693-1212,1
LC731993,NA-NA,NA,2-695,1,687-1197,1
LC731992,NA-NA,NA,1-697,1,689-1035,1
LC731991,NA-NA,NA,1-697,1,689-1045,1
LC731990,NA-NA,NA,2-704,1,696-1270,1
LC731989,NA-NA,NA,0-693,1,685-1042,1
LC731988,NA-NA,NA,1-697,1,689-1264,1
LC731987,NA-NA,NA,0-312,1,304-652,1
LC731986,NA-NA,NA,1-700,1,692-1006,1
LC731985,NA-NA,NA,2-704,1,696-1270,1
LC731984,NA-NA,NA,1-697,1,689-1229,1
LC731983,NA-NA,NA,2-695,1,687-1262,1
LC731982,NA-NA,NA,1-697,1,689-1056,1
LC731981,NA-NA,NA,1-697,1,689-1256,1
LC731980,NA-NA,NA,2-704,1,696-1209,1
LC731979,NA-NA,NA,2-704,1,696-1250,1
LC731978,NA-NA,NA,1-709,1,701-1255,1
LC731977,NA-NA,NA,2-695,1,687-1043,1
LC731976,NA-NA,NA,2-695,1,687-1262,1
LC731975,NA-NA,NA,1-697,1,689-1262,1
LC731974,NA-NA,NA,1-697,1,689-1264,1
LC731973,NA-NA,NA,2-701,1,693-1257,1
LC731972,NA-NA,NA,2-704,1,696-1269,1
LC731971,NA-NA,NA,2-704,1,696-1266,1
LC731970,NA-NA,NA,2-710,1,702-1250,1
LC731969,NA-NA,NA,2-710,1,702-1275,1
LC731968,NA-NA,NA,2-704,1,696-956,1
LC731967,NA-NA,NA,2-701,1,693-1268,1
LC731966,NA-NA,NA,1-709,1,701-1226,1
LC731965,NA-NA,NA,2-701,1,693-1263,1
LC731964,NA-NA,NA,1-709,1,701-1255,1
LC731963,NA-NA,NA,2-710,1,702-1268,1
LC731962,NA-NA,NA,2-680,1,672-1249,1
OP094602,1-2557,1,2361-3888,1,3893-6050,1
ON982163,NA-NA,NA,4056-6747,1,NA-NA,NA
OP272633,0-2562,1,2594-5054,1,5047-7225,1
OQ198049,NA-NA,NA,NA-NA,NA,4131-6642,1
OP169001,70-3490,1,3471-5031,1,5055-7269,1
OP179660,9-3264,1,3254-4805,1,4823-6938,1
OQ543105,0-984,1,NA-NA,NA,NA-NA,NA
OQ543104,0-984,1,NA-NA,NA,NA-NA,NA
OQ543103,0-984,1,NA-NA,NA,NA-NA,NA
OQ543102,0-1140,1,NA-NA,NA,NA-NA,NA
OQ543101,0-1140,1,NA-NA,NA,NA-NA,NA
OQ543100,0-1140,1,NA-NA,NA,NA-NA,NA
OQ543099,0-1140,1,NA-NA,NA,NA-NA,NA
OQ543098,0-1140,1,NA-NA,NA,NA-NA,NA
OQ543097,0-1140,1,NA-NA,NA,NA-NA,NA
OQ543096,0-1140,1,NA-NA,NA,NA-NA,NA
OQ543095,0-1140,1,NA-NA,NA,NA-NA,NA
OQ543094,0-1083,1,NA-NA,NA,NA-NA,NA
OQ543093,0-1140,1,NA-NA,NA,NA-NA,NA
OQ543092,0-1140,1,NA-NA,NA,NA-NA,NA
OQ543091,0-1140,1,NA-NA,NA,NA-NA,NA
OQ543090,0-1053,1,NA-NA,NA,NA-NA,NA
OQ543089,0-1140,1,NA-NA,NA,NA-NA,NA
OQ543088,0-1140,1,NA-NA,NA,NA-NA,NA
OQ543087,0-1140,1,NA-NA,NA,NA-NA,NA
OQ543086,0-1017,1,NA-NA,NA,NA-NA,NA
OQ543085,0-1140,1,NA-NA,NA,NA-NA,NA
OQ543084,0-1140,1,NA-NA,NA,NA-NA,NA
OQ543083,0-750,1,NA-NA,NA,NA-NA,NA
OQ543082,0-750,1,NA-NA,NA,NA-NA,NA
OQ543081,0-750,1,NA-NA,NA,NA-NA,NA
OQ543080,0-750,1,NA-NA,NA,NA-NA,NA
OQ543079,0-750,1,NA-NA,NA,NA-NA,NA
OQ543078,0-750,1,NA-NA,NA,NA-NA,NA
OQ543077,0-750,1,NA-NA,NA,NA-NA,NA
OQ543076,0-750,1,NA-NA,NA,NA-NA,NA
OQ543075,0-750,1,NA-NA,NA,NA-NA,NA
OQ543074,0-750,1,NA-NA,NA,NA-NA,NA
OQ543073,0-750,1,NA-NA,NA,NA-NA,NA
OQ543072,0-750,1,NA-NA,NA,NA-NA,NA
OQ543071,0-750,1,NA-NA,NA,NA-NA,NA
OQ543070,0-750,1,NA-NA,NA,NA-NA,NA
OQ543069,0-750,1,NA-NA,NA,NA-NA,NA
OQ543068,0-750,1,NA-NA,NA,NA-NA,NA
OQ543067,0-750,1,NA-NA,NA,NA-NA,NA
OQ543066,0-750,1,NA-NA,NA,NA-NA,NA
OQ543065,0-750,1,NA-NA,NA,NA-NA,NA
OQ543064,0-750,1,NA-NA,NA,NA-NA,NA
OQ543063,0-750,1,NA-NA,NA,NA-NA,NA
OQ543062,0-249,1,NA-NA,NA,NA-NA,NA
OQ543061,0-750,1,NA-NA,NA,NA-NA,NA
OQ543060,0-747,1,NA-NA,NA,NA-NA,NA
OQ543059,0-750,1,NA-NA,NA,NA-NA,NA
OQ543058,0-750,1,NA-NA,NA,NA-NA,NA
OQ543057,0-750,1,NA-NA,NA,NA-NA,NA
OQ543056,0-729,1,NA-NA,NA,NA-NA,NA
OQ543055,0-750,1,NA-NA,NA,NA-NA,NA
OQ543054,0-750,1,NA-NA,NA,NA-NA,NA
OQ543053,0-750,1,NA-NA,NA,NA-NA,NA
OQ543052,0-750,1,NA-NA,NA,NA-NA,NA
OQ543051,0-750,1,NA-NA,NA,NA-NA,NA
OQ543050,0-750,1,NA-NA,NA,NA-NA,NA
OQ543049,0-750,1,NA-NA,NA,NA-NA,NA
OQ543048,0-750,1,NA-NA,NA,NA-NA,NA
OQ543047,0-750,1,NA-NA,NA,NA-NA,NA
OQ543046,0-750,1,NA-NA,NA,NA-NA,NA
OQ543045,0-750,1,NA-NA,NA,NA-NA,NA
OQ543044,0-750,1,NA-NA,NA,NA-NA,NA
OQ543043,0-750,1,NA-NA,NA,NA-NA,NA
OQ543042,0-750,1,NA-NA,NA,NA-NA,NA
OQ543041,0-750,1,NA-NA,NA,NA-NA,NA
OQ543040,0-750,1,NA-NA,NA,NA-NA,NA
OQ543039,0-750,1,NA-NA,NA,NA-NA,NA
OQ543038,0-750,1,NA-NA,NA,NA-NA,NA
OQ543037,0-750,1,NA-NA,NA,NA-NA,NA
OQ543036,0-750,1,NA-NA,NA,NA-NA,NA
OQ543035,0-750,1,NA-NA,NA,NA-NA,NA
OQ543034,0-747,1,NA-NA,NA,NA-NA,NA
OQ543033,0-750,1,NA-NA,NA,NA-NA,NA
OQ543032,0-750,1,NA-NA,NA,NA-NA,NA
OQ543031,0-750,1,NA-NA,NA,NA-NA,NA
OQ543030,0-750,1,NA-NA,NA,NA-NA,NA
OQ543029,0-750,1,NA-NA,NA,NA-NA,NA
OQ543028,0-750,1,NA-NA,NA,NA-NA,NA
OQ543027,0-750,1,NA-NA,NA,NA-NA,NA
OQ543026,0-750,1,NA-NA,NA,NA-NA,NA
OQ543025,0-750,1,NA-NA,NA,NA-NA,NA
OQ543024,0-750,1,NA-NA,NA,NA-NA,NA
OQ543023,0-750,1,NA-NA,NA,NA-NA,NA
OQ543022,0-750,1,NA-NA,NA,NA-NA,NA
OQ543021,0-750,1,NA-NA,NA,NA-NA,NA
OQ543020,0-750,1,NA-NA,NA,NA-NA,NA
OQ543019,0-750,1,NA-NA,NA,NA-NA,NA
OQ543018,0-750,1,NA-NA,NA,NA-NA,NA
OQ543017,0-750,1,NA-NA,NA,NA-NA,NA
OQ543016,0-750,1,NA-NA,NA,NA-NA,NA
OQ543015,0-750,1,NA-NA,NA,NA-NA,NA
OQ543014,0-720,1,NA-NA,NA,NA-NA,NA
ON807354,0-2052,1,2432-3539,1,3351-5895,1
ON807353,0-1674,1,3726-6078,1,2345-3734,1
ON807352,0-2763,1,3143-4250,1,4242-6448,1
ON807351,0-2766,1,3146-4253,1,4245-6428,1
ON807350,0-2766,1,3146-4253,1,4245-6535,1
ON807349,0-2766,1,3146-4253,1,4245-6519,1
ON807348,NA-NA,NA,0-4254,1,4246-6583,1
ON807347,0-2808,1,3188-4295,1,4107-6651,1
ON807346,0-2766,1,3146-4253,1,4245-6582,1
ON807345,0-2784,1,3164-4271,1,4263-6648,1
ON807344,0-2784,1,3164-4271,1,4263-6648,1
ON807320,0-2295,1,2309-3782,1,3774-5989,1
ON807319,0-2298,1,2312-3770,1,3642-6000,1
ON807318,NA-NA,NA,NA-NA,NA,4245-6582,1
ON886356,NA-NA,NA,0-483,1,NA-NA,NA
ON886355,NA-NA,NA,0-501,1,NA-NA,NA
ON886354,NA-NA,NA,0-516,1,NA-NA,NA
ON886353,NA-NA,NA,0-516,1,NA-NA,NA
ON886352,NA-NA,NA,0-541,1,NA-NA,NA
ON886351,NA-NA,NA,0-552,1,NA-NA,NA
ON886350,NA-NA,NA,0-552,1,NA-NA,NA
ON886349,NA-NA,NA,0-543,1,NA-NA,NA
ON886348,NA-NA,NA,0-546,1,NA-NA,NA
ON886347,NA-NA,NA,0-555,1,NA-NA,NA
ON886346,NA-NA,NA,0-540,1,NA-NA,NA
ON886345,NA-NA,NA,0-546,1,NA-NA,NA
ON886344,NA-NA,NA,0-553,1,NA-NA,NA
ON886343,NA-NA,NA,0-546,1,NA-NA,NA
ON886342,NA-NA,NA,0-582,1,NA-NA,NA
ON886341,NA-NA,NA,0-543,1,NA-NA,NA
ON886340,NA-NA,NA,0-549,1,NA-NA,NA
ON886339,NA-NA,NA,0-553,1,NA-NA,NA
ON886338,NA-NA,NA,0-549,1,NA-NA,NA
ON886337,NA-NA,NA,0-552,1,NA-NA,NA
ON886336,NA-NA,NA,0-561,1,NA-NA,NA
ON886335,NA-NA,NA,0-555,1,NA-NA,NA
ON886334,NA-NA,NA,0-552,1,NA-NA,NA
ON886333,NA-NA,NA,0-564,1,NA-NA,NA
ON886332,NA-NA,NA,0-603,1,NA-NA,NA
ON886331,NA-NA,NA,0-579,1,NA-NA,NA
ON886330,NA-NA,NA,0-579,1,NA-NA,NA
ON932808,NA-NA,NA,NA-NA,NA,0-1242,1
ON932807,NA-NA,NA,NA-NA,NA,NA-NA,NA
ON932806,NA-NA,NA,NA-NA,NA,4159-4717,1
ON932805,NA-NA,NA,NA-NA,NA,1423-3833,1
OQ630461,2-2741,1,2668-4228,1,4220-6387,1
OP292324,NA-NA,NA,NA-NA,NA,0-383,1
OP292323,NA-NA,NA,NA-NA,NA,0-383,1
OP292322,NA-NA,NA,NA-NA,NA,0-383,1
OP292321,NA-NA,NA,NA-NA,NA,0-383,1
OP292320,NA-NA,NA,NA-NA,NA,0-383,1
OP292319,NA-NA,NA,NA-NA,NA,0-383,1
OP621341,10-3265,1,3255-4806,1,4824-6939,1
OP621340,10-3265,1,3255-4806,1,4824-6939,1
OP621339,10-3265,1,3255-4806,1,4824-6939,1
OP621338,10-3265,1,3255-4806,1,4824-6939,1
OP621337,10-3265,1,3255-4806,1,4824-6939,1
OP621336,10-3265,1,3255-4806,1,4824-6939,1
OP621335,10-3265,1,3255-4806,1,4824-6939,1
OP621334,10-3265,1,3255-4806,1,4824-6939,1
OP621333,10-3265,1,3255-4806,1,4824-6939,1
OP621332,10-3265,1,3255-4806,1,4824-6939,1
OP621331,10-3265,1,3255-4806,1,4824-6939,1
OP621330,10-3265,1,3255-4806,1,4824-6939,1
OP484924,10-3265,1,3255-4806,1,4824-6939,1
OP484923,10-3265,1,3255-4806,1,4824-6939,1
ON682302,33-2484,1,NA-NA,NA,3891-6123,1
ON682301,32-2483,1,NA-NA,NA,3890-6125,1
ON682300,38-2489,1,NA-NA,NA,3815-6125,1
ON682296,11-2345,1,NA-NA,NA,3755-6056,1
ON682295,35-2489,1,NA-NA,NA,3944-6221,1
ON682293,100-2554,1,NA-NA,NA,3961-6271,1
ON682292,33-2487,1,NA-NA,NA,3894-6207,1
ON682291,31-2482,1,NA-NA,NA,3889-6121,1
ON682290,34-2488,1,NA-NA,NA,3895-6208,1
ON682289,88-2542,1,NA-NA,NA,3949-6262,1
ON682288,32-2483,1,NA-NA,NA,3890-6113,1
ON682287,3895-6208,1,NA-NA,NA,NA-NA,NA
ON682286,15-2349,1,NA-NA,NA,3759-6039,1
ON682285,33-2484,1,NA-NA,NA,3810-6120,1
ON682283,33-2484,1,NA-NA,NA,3810-6129,1
ON682282,26-2552,1,NA-NA,NA,4007-6221,1
ON682281,92-2543,1,NA-NA,NA,3950-6185,1
ON682278,72-2526,1,NA-NA,NA,3933-6234,1
ON682276,37-2491,1,NA-NA,NA,3898-6211,1
ON682275,142-2593,1,NA-NA,NA,4000-6235,1
ON682272,22-2554,1,NA-NA,NA,3961-6274,1
ON595954,NA-NA,NA,1-783,-1,NA-NA,NA
ON595953,NA-NA,NA,NA-NA,NA,0-2076,1
ON595952,NA-NA,NA,0-1587,1,NA-NA,NA
ON595951,0-2994,1,NA-NA,NA,NA-NA,NA
ON595950,NA-NA,NA,NA-NA,NA,0-1890,1
ON595949,NA-NA,NA,0-1458,1,NA-NA,NA
ON595948,0-3270,1,NA-NA,NA,NA-NA,NA
ON595947,NA-NA,NA,NA-NA,NA,0-1908,1
ON595946,NA-NA,NA,0-1473,1,NA-NA,NA
ON595945,0-3231,1,NA-NA,NA,NA-NA,NA
ON595944,NA-NA,NA,NA-NA,NA,0-1908,1
ON595943,NA-NA,NA,0-1473,1,NA-NA,NA
ON595942,0-3231,1,NA-NA,NA,NA-NA,NA
ON595941,NA-NA,NA,NA-NA,NA,0-1905,1
ON595940,NA-NA,NA,0-1422,1,NA-NA,NA
ON595939,0-3231,1,NA-NA,NA,NA-NA,NA
ON595938,NA-NA,NA,NA-NA,NA,0-1905,1
ON595937,NA-NA,NA,0-1422,1,NA-NA,NA
ON595936,0-3231,1,NA-NA,NA,NA-NA,NA
OP851369,NA-NA,NA,2-344,1,NA-NA,NA
OP851368,NA-NA,NA,0-362,1,NA-NA,NA
ON979523,0-2754,1,2693-4241,1,4233-6597,1
ON979522,0-2760,1,2699-4247,1,4239-6603,1
ON979521,0-2757,1,2696-4244,1,4236-6600,1
ON954324,59-3314,1,3304-4855,1,4873-6988,1
ON954170,NA-NA,NA,0-483,1,NA-NA,NA
ON954169,NA-NA,NA,0-174,1,NA-NA,NA
OP482094,85-2884,1,2823-4371,1,4363-6715,1
OP482093,85-2884,1,2823-4371,1,4363-6715,1
OQ198051,287-2741,1,2695-4204,1,4148-6470,1
OQ198050,620-2720,1,NA-NA,NA,4127-6368,1
OQ198048,360-2514,1,2479-3986,1,NA-NA,NA
OQ198047,200-3389,1,3340-4876,1,4865-7385,1
OQ198046,279-2613,1,2570-4085,1,4074-6321,1
