Accession	LOCUS	Version	GenBank title	Release date	Organism name	Virus Lineage	Species	Family	Length	Reference_title	Submitters	PUBMED_ID	Strain	Isolate	Geo location	Country	Collection date	Tissue/Specimen/Source	Host	Environmental	CDS count	Artificial	UNVERIFIED	1A	1A-strand	1B	1B-strand	2	2-strand	host_clean	Host_species	Host_genus	Host_family	Host_order	Host_class	Host_phylum	Host_kingdom	Species_ICTV	virus_name
OQ852916	OQ852916	OQ852916.1	Bovine astrovirus isolate BAstV_IND_NIV198013_2019 RNA-dependent RNA polymerase gene, partial cds	19-SEP-2023	Bovine astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus		Astroviridae	301	Detection and Molecular Characterization of Animal Adenovirus and Astrovirus from Western Maharashtra, India	Sawant,P.M., Waghchaure,R.B., Shinde,P.A., Palikondawar,A.P. and Lavania,M.	37632021		BAstV_IND_NIV198013_2019	India		2019	stool sample	bovine	No	1	No	No	NA-NA		0-301	1.0	NA-NA		Bos taurus	Bos taurus	Bos	Bovidae	Artiodactyla	Mammalia	Chordata	Metazoa	NA	NA
OQ852915	OQ852915	OQ852915.1	Bovine astrovirus isolate BAstV_IND_NIV1980037_2019 RNA-dependent RNA polymerase gene, partial cds	19-SEP-2023	Bovine astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus		Astroviridae	346	Detection and Molecular Characterization of Animal Adenovirus and Astrovirus from Western Maharashtra, India	Sawant,P.M., Waghchaure,R.B., Shinde,P.A., Palikondawar,A.P. and Lavania,M.	37632021		BAstV_IND_NIV1980037_2019	India		2019	stool sample	bovine	No	1	No	No	NA-NA		0-346	1.0	NA-NA		Bos taurus	Bos taurus	Bos	Bovidae	Artiodactyla	Mammalia	Chordata	Metazoa	NA	NA
OQ852914	OQ852914	OQ852914.1	Bovine astrovirus isolate BAstV_IND_NIV198003_2019 RNA-dependent RNA polymerase gene, partial cds	19-SEP-2023	Bovine astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus		Astroviridae	325	Detection and Molecular Characterization of Animal Adenovirus and Astrovirus from Western Maharashtra, India	Sawant,P.M., Waghchaure,R.B., Shinde,P.A., Palikondawar,A.P. and Lavania,M.	37632021		BAstV_IND_NIV198003_2019	India		2019	stool sample	bovine	No	1	No	No	NA-NA		0-325	1.0	NA-NA		Bos taurus	Bos taurus	Bos	Bovidae	Artiodactyla	Mammalia	Chordata	Metazoa	NA	NA
OQ852913	OQ852913	OQ852913.1	Mamastrovirus 3 isolate PAstV_IND_NIV1842989_2018 RNA-dependent RNA polymerase gene, partial cds	19-SEP-2023	Mamastrovirus 3	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus suisorientalis	Mamastrovirus suisorientalis	Astroviridae	345	Detection and Molecular Characterization of Animal Adenovirus and Astrovirus from Western Maharashtra, India	Sawant,P.M., Waghchaure,R.B., Shinde,P.A., Palikondawar,A.P. and Lavania,M.	37632021		PAstV_IND_NIV1842989_2018	India		2017/2019	stool sample	porcine	No	1	No	No	NA-NA		0-345	1.0	NA-NA		Sus scrofa	Sus scrofa	Sus	Suidae	Artiodactyla	Mammalia	Chordata	Metazoa	NA	NA
OQ852912	OQ852912	OQ852912.1	Mamastrovirus 3 isolate PAstV_IND_NIV198026_2019 RNA-dependent RNA polymerase gene, partial cds	19-SEP-2023	Mamastrovirus 3	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus suisorientalis	Mamastrovirus suisorientalis	Astroviridae	344	Detection and Molecular Characterization of Animal Adenovirus and Astrovirus from Western Maharashtra, India	Sawant,P.M., Waghchaure,R.B., Shinde,P.A., Palikondawar,A.P. and Lavania,M.	37632021		PAstV_IND_NIV198026_2019	India		2017/2019	stool sample	porcine	No	1	No	No	NA-NA		0-344	1.0	NA-NA		Sus scrofa	Sus scrofa	Sus	Suidae	Artiodactyla	Mammalia	Chordata	Metazoa	NA	NA
OQ852911	OQ852911	OQ852911.1	Mamastrovirus 3 isolate PAstV_IND_NIV1740787_2017 RNA-dependent RNA polymerase gene, partial cds	19-SEP-2023	Mamastrovirus 3	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus suisorientalis	Mamastrovirus suisorientalis	Astroviridae	348	Detection and Molecular Characterization of Animal Adenovirus and Astrovirus from Western Maharashtra, India	Sawant,P.M., Waghchaure,R.B., Shinde,P.A., Palikondawar,A.P. and Lavania,M.	37632021		PAstV_IND_NIV1740787_2017	India		2017/2019	stool sample	porcine	No	1	No	No	NA-NA		0-348	1.0	NA-NA		Sus scrofa	Sus scrofa	Sus	Suidae	Artiodactyla	Mammalia	Chordata	Metazoa	NA	NA
OQ852910	OQ852910	OQ852910.1	Mamastrovirus 3 isolate PAstV_IND_NIV1740767_2017 RNA-dependent RNA polymerase gene, partial cds	19-SEP-2023	Mamastrovirus 3	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus suisorientalis	Mamastrovirus suisorientalis	Astroviridae	338	Detection and Molecular Characterization of Animal Adenovirus and Astrovirus from Western Maharashtra, India	Sawant,P.M., Waghchaure,R.B., Shinde,P.A., Palikondawar,A.P. and Lavania,M.	37632021		PAstV_IND_NIV1740767_2017	India		2017/2019	stool sample	porcine	No	1	No	No	NA-NA		0-338	1.0	NA-NA		Sus scrofa	Sus scrofa	Sus	Suidae	Artiodactyla	Mammalia	Chordata	Metazoa	NA	NA
OQ852909	OQ852909	OQ852909.1	Mamastrovirus 3 isolate PAstV_IND_NIV1740760_2017 RNA-dependent RNA polymerase gene, partial cds	19-SEP-2023	Mamastrovirus 3	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus suisorientalis	Mamastrovirus suisorientalis	Astroviridae	344	Detection and Molecular Characterization of Animal Adenovirus and Astrovirus from Western Maharashtra, India	Sawant,P.M., Waghchaure,R.B., Shinde,P.A., Palikondawar,A.P. and Lavania,M.	37632021		PAstV_IND_NIV1740760_2017	India		2017/2019	stool sample	porcine	No	1	No	No	NA-NA		2-344	1.0	NA-NA		Sus scrofa	Sus scrofa	Sus	Suidae	Artiodactyla	Mammalia	Chordata	Metazoa	NA	NA
OQ852908	OQ852908	OQ852908.1	Mamastrovirus 3 isolate PAstV_IND_NIV198022_2019 RNA-dependent RNA polymerase gene, partial cds	19-SEP-2023	Mamastrovirus 3	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus suisorientalis	Mamastrovirus suisorientalis	Astroviridae	352	Detection and Molecular Characterization of Animal Adenovirus and Astrovirus from Western Maharashtra, India	Sawant,P.M., Waghchaure,R.B., Shinde,P.A., Palikondawar,A.P. and Lavania,M.	37632021		PAstV_IND_NIV198022_2019	India		2017/2019	stool sample	porcine	No	1	No	No	NA-NA		0-352	1.0	NA-NA		Sus scrofa	Sus scrofa	Sus	Suidae	Artiodactyla	Mammalia	Chordata	Metazoa	NA	NA
OQ852907	OQ852907	OQ852907.1	Canine astrovirus isolate CAstV_IND_NIVAN198037_2019 RNA-dependent RNA polymerase gene, partial cds	19-SEP-2023	Canine astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus		Astroviridae	354	Detection and Molecular Characterization of Animal Adenovirus and Astrovirus from Western Maharashtra, India	Sawant,P.M., Waghchaure,R.B., Shinde,P.A., Palikondawar,A.P. and Lavania,M.	37632021		CAstV_IND_NIVAN198037_2019	India		2019	stool sample	canine	No	1	No	No	NA-NA		0-354	1.0	NA-NA		Canis lupus familiaris	Canis lupus	Canis	Canidae	Carnivora	Mammalia	Chordata	Metazoa	NA	NA
OQ852906	OQ852906	OQ852906.1	Canine astrovirus isolate CAstV_IND_NIVAN198098_2019 RNA-dependent RNA polymerase gene, partial cds	19-SEP-2023	Canine astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus		Astroviridae	331	Detection and Molecular Characterization of Animal Adenovirus and Astrovirus from Western Maharashtra, India	Sawant,P.M., Waghchaure,R.B., Shinde,P.A., Palikondawar,A.P. and Lavania,M.	37632021		CAstV_IND_NIVAN198098_2019	India		2019	stool sample	canine	No	1	No	No	NA-NA		0-331	1.0	NA-NA		Canis lupus familiaris	Canis lupus	Canis	Canidae	Carnivora	Mammalia	Chordata	Metazoa	NA	NA
OQ852905	OQ852905	OQ852905.1	Canine astrovirus isolate CAstV_IND_NIVAN198081_2019 RNA-dependent RNA polymerase gene, partial cds	19-SEP-2023	Canine astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus		Astroviridae	320	Detection and Molecular Characterization of Animal Adenovirus and Astrovirus from Western Maharashtra, India	Sawant,P.M., Waghchaure,R.B., Shinde,P.A., Palikondawar,A.P. and Lavania,M.	37632021		CAstV_IND_NIVAN198081_2019	India		2019	stool sample	canine	No	1	No	No	NA-NA		0-320	1.0	NA-NA		Canis lupus familiaris	Canis lupus	Canis	Canidae	Carnivora	Mammalia	Chordata	Metazoa	NA	NA
OR260032	OR260032	OR260032.1	Mamastrovirus 1 isolate HAstV_Sample18_HIE serine protease gene, partial cds	19-SEP-2023	Mamastrovirus 1	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus hominis	Mamastrovirus hominis	Astroviridae	218	Human intestinal enteroids as multipathogen platform to assess enteric virus infectivity in wastewater	Carmona,N., Pandiscia,A., Santiso-Bellon,C., Perez-Cataluna,A., Rodriguez-Diaz,J., Costantini,V., Buesa,J., Vinje,J., Sanchez,G. and Randazzo,W.			HAstV_Sample18_HIE	Spain: Valencia		Jun-2022	supernatant of HIE	Homo sapiens	No	1	No	No	0-218	1.0	NA-NA		NA-NA		Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa	NA	NA
OR260031	OR260031	OR260031.1	Mamastrovirus 1 isolate HAstV_Sample18_WW serine protease gene, partial cds	19-SEP-2023	Mamastrovirus 1	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus hominis	Mamastrovirus hominis	Astroviridae	218	Human intestinal enteroids as multipathogen platform to assess enteric virus infectivity in wastewater	Carmona,N., Pandiscia,A., Santiso-Bellon,C., Perez-Cataluna,A., Rodriguez-Diaz,J., Costantini,V., Buesa,J., Vinje,J., Sanchez,G. and Randazzo,W.			HAstV_Sample18_WW	Spain: Valencia		Jun-2022	sewage	Homo sapiens	No	1	No	No	0-218	1.0	NA-NA		NA-NA		Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa	NA	NA
OR260030	OR260030	OR260030.1	Mamastrovirus 1 isolate HAstV_Sample22_HIE serine protease gene, partial cds	19-SEP-2023	Mamastrovirus 1	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus hominis	Mamastrovirus hominis	Astroviridae	206	Human intestinal enteroids as multipathogen platform to assess enteric virus infectivity in wastewater	Carmona,N., Pandiscia,A., Santiso-Bellon,C., Perez-Cataluna,A., Rodriguez-Diaz,J., Costantini,V., Buesa,J., Vinje,J., Sanchez,G. and Randazzo,W.			HAstV_Sample22_HIE	Spain: Valencia		Jun-2022	supernatant of HIE	Homo sapiens	No	1	No	No	0-206	1.0	NA-NA		NA-NA		Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa	NA	NA
OR260029	OR260029	OR260029.1	Mamastrovirus 1 isolate HAstV_Sample22_WW serine protease gene, partial cds	19-SEP-2023	Mamastrovirus 1	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus hominis	Mamastrovirus hominis	Astroviridae	190	Human intestinal enteroids as multipathogen platform to assess enteric virus infectivity in wastewater	Carmona,N., Pandiscia,A., Santiso-Bellon,C., Perez-Cataluna,A., Rodriguez-Diaz,J., Costantini,V., Buesa,J., Vinje,J., Sanchez,G. and Randazzo,W.			HAstV_Sample22_WW	Spain: Valencia		Jun-2022	sewage	Homo sapiens	No	1	No	No	0-190	1.0	NA-NA		NA-NA		Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa	NA	NA
OR260028	OR260028	OR260028.1	Mamastrovirus 1 isolate HAstV_Sample3_WW serine protease gene, partial cds	19-SEP-2023	Mamastrovirus 1	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus hominis	Mamastrovirus hominis	Astroviridae	191	Human intestinal enteroids as multipathogen platform to assess enteric virus infectivity in wastewater	Carmona,N., Pandiscia,A., Santiso-Bellon,C., Perez-Cataluna,A., Rodriguez-Diaz,J., Costantini,V., Buesa,J., Vinje,J., Sanchez,G. and Randazzo,W.			HAstV_Sample3_WW	Spain: Valencia		Jun-2022	sewage	Homo sapiens	No	1	No	No	0-191	1.0	NA-NA		NA-NA		Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa	NA	NA
OR260027	OR260027	OR260027.1	Mamastrovirus 1 isolate HAstV_Sample20_HIE serine protease gene, partial cds	19-SEP-2023	Mamastrovirus 1	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus hominis	Mamastrovirus hominis	Astroviridae	289	Human intestinal enteroids as multipathogen platform to assess enteric virus infectivity in wastewater	Carmona,N., Pandiscia,A., Santiso-Bellon,C., Perez-Cataluna,A., Rodriguez-Diaz,J., Costantini,V., Buesa,J., Vinje,J., Sanchez,G. and Randazzo,W.			HAstV_Sample20_HIE	Spain: Valencia		Jun-2022	supernatant of HIE	Homo sapiens	No	1	No	No	2-289	1.0	NA-NA		NA-NA		Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa	NA	NA
OR260026	OR260026	OR260026.1	Mamastrovirus 1 isolate HAstV_Sample20_WW serine protease gene, partial cds	19-SEP-2023	Mamastrovirus 1	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus hominis	Mamastrovirus hominis	Astroviridae	289	Human intestinal enteroids as multipathogen platform to assess enteric virus infectivity in wastewater	Carmona,N., Pandiscia,A., Santiso-Bellon,C., Perez-Cataluna,A., Rodriguez-Diaz,J., Costantini,V., Buesa,J., Vinje,J., Sanchez,G. and Randazzo,W.			HAstV_Sample20_WW	Spain: Valencia		Jun-2022	sewage	Homo sapiens	No	1	No	No	2-289	1.0	NA-NA		NA-NA		Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa	NA	NA
OR260025	OR260025	OR260025.1	Mamastrovirus 1 isolate HAstV_Sample3_HIE serine protease gene, partial cds	19-SEP-2023	Mamastrovirus 1	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus hominis	Mamastrovirus hominis	Astroviridae	288	Human intestinal enteroids as multipathogen platform to assess enteric virus infectivity in wastewater	Carmona,N., Pandiscia,A., Santiso-Bellon,C., Perez-Cataluna,A., Rodriguez-Diaz,J., Costantini,V., Buesa,J., Vinje,J., Sanchez,G. and Randazzo,W.			HAstV_Sample3_HIE	Spain: Valencia		Jun-2022	supernatant of HIE	Homo sapiens	No	1	No	No	2-288	1.0	NA-NA		NA-NA		Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa	NA	NA
OR260024	OR260024	OR260024.1	Mamastrovirus 1 isolate HAstV_Sample2_WW serine protease gene, partial cds	19-SEP-2023	Mamastrovirus 1	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus hominis	Mamastrovirus hominis	Astroviridae	290	Human intestinal enteroids as multipathogen platform to assess enteric virus infectivity in wastewater	Carmona,N., Pandiscia,A., Santiso-Bellon,C., Perez-Cataluna,A., Rodriguez-Diaz,J., Costantini,V., Buesa,J., Vinje,J., Sanchez,G. and Randazzo,W.			HAstV_Sample2_WW	Spain: Valencia		Jun-2022	sewage	Homo sapiens	No	1	No	No	2-290	1.0	NA-NA		NA-NA		Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa	NA	NA
OR260023	OR260023	OR260023.1	Mamastrovirus 1 isolate HAstV_Sample2_HIE serine protease gene, partial cds	19-SEP-2023	Mamastrovirus 1	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus hominis	Mamastrovirus hominis	Astroviridae	290	Human intestinal enteroids as multipathogen platform to assess enteric virus infectivity in wastewater	Carmona,N., Pandiscia,A., Santiso-Bellon,C., Perez-Cataluna,A., Rodriguez-Diaz,J., Costantini,V., Buesa,J., Vinje,J., Sanchez,G. and Randazzo,W.			HAstV_Sample2_HIE	Spain: Valencia		Jun-2022	supernatant of HIE	Homo sapiens	No	1	No	No	2-290	1.0	NA-NA		NA-NA		Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa	NA	NA
OR222911	OR222911	OR222911.1	Astrovirus MLB1 isolate SY2101, partial genome	13-SEP-2023	Astrovirus MLB1	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus melbournense	Mamastrovirus melbournense	Astroviridae	6162	Direct Submission	Xinyu,Z. and Xiangdong,W.			SY2101	China		2021	stool	Homo sapiens	No	3	No	No	5-2369	1.0	2305-3841	1.0	3833-6104	1.0	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa	Mamastrovirus melbournense	MAstV6
OR222910	OR222910	OR222910.1	Human astrovirus 5 isolate SY2106, partial genome	13-SEP-2023	Human astrovirus 5	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus hominis	Mamastrovirus hominis	Astroviridae	6801	Direct Submission	Xinyu,Z. and Xiangdong,W.			SY2106	China		2021	stool	Homo sapiens	No	3	No	No	83-2885	1.0	2824-4372	1.0	4364-6716	1.0	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa	Mamastrovirus hominis	MAstV1
OR211592	OR211592	OR211592.1	Goose astrovirus isolate GAstV-HBLY, complete genome	13-SEP-2023	Goose astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus		Astroviridae	7308	Direct Submission	Ji,J.S., Yuan,W.Z. and Zhao,K.			GAstV-HBLY	China		2023		goose	No	3	No	No	22-3304	1.0	3294-4839	1.0	4868-6983	1.0	Anser anser	Anser anser	Anser	Anatidae	Anseriformes	Aves	Chordata	Metazoa	NA	NA
OR448835	OR448835	OR448835.1	MAG: Human astrovirus isolate A60_AFP17_NGR_2020, complete genome	12-SEP-2023	Human astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	6160	Classic Human Astrovirus 4, 8, MLB-3 and likely new genotype 5 sub-lineage in stool samples of children with Acute Flaccid Paralysis (AFP) in Nigeria	Ifeorah,I., Faleye,T., De Coninck,L., Agbaje,S., George,U., Onoja,B., Olayinka,O., Oni,E., Ajileye,T., Oragwa,A., Akinleye,T., Popoola,B., Osasona,D., Olayinka,T., George,O., Ahmed,M., Komolafe,O., Adeniji,J., Matthijnssens,J. and Adewumi,O.			A60_AFP17_NGR_2020	Nigeria		2020	feces; AFP case	Homo sapiens	Yes	3	No	No	28-2392	1.0	2406-3864	1.0	3736-6100	1.0	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa	NA	NA
OR448834	OR448834	OR448834.1	MAG: Human astrovirus isolate A24_AFP7_NGR_2020, complete genome	12-SEP-2023	Human astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	6145	Classic Human Astrovirus 4, 8, MLB-3 and likely new genotype 5 sub-lineage in stool samples of children with Acute Flaccid Paralysis (AFP) in Nigeria	Ifeorah,I., Faleye,T., De Coninck,L., Agbaje,S., George,U., Onoja,B., Olayinka,O., Oni,E., Ajileye,T., Oragwa,A., Akinleye,T., Popoola,B., Osasona,D., Olayinka,T., George,O., Ahmed,M., Komolafe,O., Adeniji,J., Matthijnssens,J. and Adewumi,O.			A24_AFP7_NGR_2020	Nigeria		2020	feces; AFP case	Homo sapiens	Yes	3	No	No	14-2372	1.0	2386-3844	1.0	3716-6074	1.0	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa	NA	NA
OR448833	OR448833	OR448833.1	MAG: Human astrovirus isolate A25_AFP6_NGR_2020, complete genome	12-SEP-2023	Human astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	6152	Classic Human Astrovirus 4, 8, MLB-3 and likely new genotype 5 sub-lineage in stool samples of children with Acute Flaccid Paralysis (AFP) in Nigeria	Ifeorah,I., Faleye,T., De Coninck,L., Agbaje,S., George,U., Onoja,B., Olayinka,O., Oni,E., Ajileye,T., Oragwa,A., Akinleye,T., Popoola,B., Osasona,D., Olayinka,T., George,O., Ahmed,M., Komolafe,O., Adeniji,J., Matthijnssens,J. and Adewumi,O.			A25_AFP6_NGR_2020	Nigeria		2020	feces; AFP case	Homo sapiens	Yes	3	No	No	11-2375	1.0	2389-3847	1.0	3719-6077	1.0	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa	NA	NA
OR448832	OR448832	OR448832.1	MAG: Human astrovirus isolate A16_AFP5_NGR_2020, complete genome	12-SEP-2023	Human astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	6735	Classic Human Astrovirus 4, 8, MLB-3 and likely new genotype 5 sub-lineage in stool samples of children with Acute Flaccid Paralysis (AFP) in Nigeria	Ifeorah,I., Faleye,T., De Coninck,L., Agbaje,S., George,U., Onoja,B., Olayinka,O., Oni,E., Ajileye,T., Oragwa,A., Akinleye,T., Popoola,B., Osasona,D., Olayinka,T., George,O., Ahmed,M., Komolafe,O., Adeniji,J., Matthijnssens,J. and Adewumi,O.			A16_AFP5_NGR_2020	Nigeria		2020	feces; AFP case	Homo sapiens	Yes	3	No	No	58-2821	1.0	3201-4308	1.0	4300-6652	1.0	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa	NA	NA
OR448831	OR448831	OR448831.1	MAG: Human astrovirus isolate A15_AFP5_NGR_2020, complete genome	12-SEP-2023	Human astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	6789	Classic Human Astrovirus 4, 8, MLB-3 and likely new genotype 5 sub-lineage in stool samples of children with Acute Flaccid Paralysis (AFP) in Nigeria	Ifeorah,I., Faleye,T., De Coninck,L., Agbaje,S., George,U., Onoja,B., Olayinka,O., Oni,E., Ajileye,T., Oragwa,A., Akinleye,T., Popoola,B., Osasona,D., Olayinka,T., George,O., Ahmed,M., Komolafe,O., Adeniji,J., Matthijnssens,J. and Adewumi,O.			A15_AFP5_NGR_2020	Nigeria		2020	feces; AFP case	Homo sapiens	Yes	3	No	No	99-2901	1.0	3281-4388	1.0	4380-6696	1.0	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa	NA	NA
OR448830	OR448830	OR448830.1	MAG: Human astrovirus isolate 2069_AFP2_NGR_2020, complete genome	12-SEP-2023	Human astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae		Astroviridae	6843	Classic Human Astrovirus 4, 8, MLB-3 and likely new genotype 5 sub-lineage in stool samples of children with Acute Flaccid Paralysis (AFP) in Nigeria	Ifeorah,I., Faleye,T., De Coninck,L., Agbaje,S., George,U., Onoja,B., Olayinka,O., Oni,E., Ajileye,T., Oragwa,A., Akinleye,T., Popoola,B., Osasona,D., Olayinka,T., George,O., Ahmed,M., Komolafe,O., Adeniji,J., Matthijnssens,J. and Adewumi,O.			2069_AFP2_NGR_2020	Nigeria		2020	feces; AFP case	Homo sapiens	Yes	3	No	No	110-2891	1.0	3271-4378	1.0	4370-6719	1.0	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa	NA	NA
OR134383	OR134383	OR134383.1	Mamastrovirus sp. strain 19Q1/05/Jining/VA3 capsid protein (ORF2) gene, complete cds	05-SEP-2023	Mamastrovirus sp.	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus		Astroviridae	2268	Direct Submission	Tao,Z.		19Q1/05/Jining/VA3		China: Shandong		2019	sewage	Homo sapiens	No	1	No	No	NA-NA		NA-NA		0-2268	1.0	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa	NA	NA
OR134382	OR134382	OR134382.1	Mamastrovirus sp. strain 19Q1/04/Jining/VA2 capsid protein (ORF2) gene, complete cds	05-SEP-2023	Mamastrovirus sp.	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus		Astroviridae	2196	Direct Submission	Tao,Z.		19Q1/04/Jining/VA2		China: Shandong		2019	sewage	Homo sapiens	No	1	No	No	NA-NA		NA-NA		0-2196	1.0	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa	NA	NA
OR134381	OR134381	OR134381.1	Mamastrovirus sp. strain 19Q1/03/Jining/VA1 capsid protein (ORF2) gene, complete cds	05-SEP-2023	Mamastrovirus sp.	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus		Astroviridae	2277	Direct Submission	Tao,Z.		19Q1/03/Jining/VA1		China: Shandong		2019	sewage	Homo sapiens	No	1	No	No	NA-NA		NA-NA		0-2277	1.0	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa	NA	NA
