,Version,GenBank title,Release date,Organism name,Virus Lineage,Species,Family,Length,Submitters,Strain,Isolate,Geo location,Country,Collection date,Tissue/Specimen/Source,Host,Environmental,CDS count
PX255447,PX255447.1,"Human astrovirus isolate BTY1YZ putative serine protease (ORF1a), RNA-dependent RNA polymerase (ORF1b), and capsid precursor protein (ORF2) genes, complete cds",24-SEP-2025,Human astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,6695,"Matambo,E., Kawonga,F., Mhango,C., Chinyama,E., Msowoya,J., Majengo,C., Maseko,S., Shange,N., Baloyi,S., Mogotsi,M.T., Dennis,F.E., Matambo,P., Kamng'ona,A.W., Kumwenda,B., Nyaga,M.M., Donato,C., Chaguza,C. and Jere,K.C.",NA,BTY1YZ,Malawi,NA,04-Jul-2017,stool,Homo sapiens,No,3
PX255446,PX255446.1,"Human astrovirus isolate CQA137S1 putative serine protease (ORF1a), RNA-dependent RNA polymerase (ORF1b), and capsid precursor protein (ORF2) genes, complete cds",24-SEP-2025,Human astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,6775,"Matambo,E., Kawonga,F., Mhango,C., Chinyama,E., Msowoya,J., Majengo,C., Maseko,S., Shange,N., Baloyi,S., Mogotsi,M.T., Dennis,F.E., Matambo,P., Kamng'ona,A.W., Kumwenda,B., Nyaga,M.M., Donato,C., Chaguza,C. and Jere,K.C.",NA,CQA137S1,Malawi,NA,15-Jun-2023,stool,Homo sapiens,No,3
PX289198,PX289198.1,"Goose astrovirus strain GAstV-JS2403 hypothetical protein (ORF1a) gene, partial cds; and hypothetical protein (ORF1b) and hypothetical protein (ORF2) genes, complete cds",23-SEP-2025,Goose astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,NA,Astroviridae,7117,"Cai,J.",GAstV-JS2403,tissue,China,NA,2024,NA,goose,No,3
PX289197,PX289197.1,"Goose astrovirus strain GAstV-JS2402 hypothetical protein (ORF1a) gene, partial cds; and hypothetical protein (ORF1b) and hypothetical protein (ORF2) genes, complete cds",23-SEP-2025,Goose astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,NA,Astroviridae,6873,"Cai,J.",GAstV-JS2402,tissue,China,NA,2024,NA,goose,No,3
PX289196,PX289196.1,"Goose astrovirus strain GAstV-JS2401 hypothetical protein (OPNGEG_01) gene, partial cds; and hypothetical protein (OPNGEG_02) and hypothetical protein (OPNGEG_03) genes, complete cds",23-SEP-2025,Goose astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,NA,Astroviridae,6873,"Cai,J.",GAstV-JS2401,tissue,China,NA,2024,NA,goose,No,3
OR951098,OR951098.1,MAG: Bat astrovirus isolate JX2021_368_226027 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,3758,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,JX2021_368_226027,China,NA,2021,swab,Rhinolophus sinicus,Yes,0
OR951097,OR951097.1,MAG: Bat astrovirus isolate JX2021_367_194485 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,6021,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,JX2021_367_194485,China,NA,2021,swab,Rhinolophus sinicus,Yes,0
OR951096,OR951096.1,"MAG: Bat astrovirus isolate JX2021 polyprotein 1b-like gene, complete sequence",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,1608,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,JX2021,China,NA,2021,swab,Rhinolophus affinis,Yes,0
OR951095,OR951095.1,"MAG: Bat astrovirus isolate JX2021 polyprotein 1b gene, partial cds",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,1381,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,JX2021,China,NA,2021,swab,Rhinolophus affinis,Yes,1
OR951094,OR951094.1,"MAG: Bat astrovirus isolate FJ2021 polyprotein 1b-like gene, complete sequence",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,1850,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,FJ2021,China,NA,2021,swab,Rhinolophus affinis,Yes,0
OR951093,OR951093.1,"MAG: Bat astrovirus isolate FJ2021 polyprotein 1b gene, partial cds",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,960,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,FJ2021,China,NA,2021,swab,Rhinolophus affinis,Yes,1
OR951092,OR951092.1,"MAG: Bat astrovirus isolate HN2021 polyprotein 1b-like gene, complete sequence",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,901,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,HN2021,China,NA,2021,swab,Rhinolophus affinis,Yes,0
OR951091,OR951091.1,"MAG: Bat astrovirus isolate LN2020_329_13161 polyprotein 1b-like gene, complete sequence",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,1107,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,LN2020_329_13161,China,NA,2020,swab,Rhinolophus ferrumequinum,Yes,0
OR951090,OR951090.1,"MAG: Bat astrovirus isolate LN2020_331_77556 polyprotein 1b-like gene, complete sequence",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,1919,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,LN2020_331_77556,China,NA,2020,swab,Myotis sp.,Yes,0
OR951089,OR951089.1,"MAG: Bat astrovirus isolate YN2020 polyprotein 1b-like gene, partial sequence",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,1539,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,YN2020,China,NA,2020,swab,Miniopterus schreibersii,Yes,0
OR951088,OR951088.1,MAG: Bat astrovirus isolate YN2020_321_30356 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,3737,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,YN2020_321_30356,China,NA,2020,swab,Miniopterus schreibersii,Yes,0
OR951087,OR951087.1,MAG: Bat astrovirus isolate YN2020_321_29515 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,6552,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,YN2020_321_29515,China,NA,2020,swab,Miniopterus schreibersii,Yes,0
OR951086,OR951086.1,MAG: Bat astrovirus isolate YN2020_321_25819 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,4824,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,YN2020_321_25819,China,NA,2020,swab,Miniopterus schreibersii,Yes,0
OR951085,OR951085.1,"MAG: Bat astrovirus isolate YN2020 polyprotein 1a gene, partial cds",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,1265,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,YN2020,China,NA,2020,swab,Miniopterus schreibersii,Yes,1
OR951084,OR951084.1,"MAG: Bat astrovirus isolate YN2020 polyprotein 1b gene, complete cds",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,1642,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,YN2020,China,NA,2020,swab,Miniopterus schreibersii,Yes,1
OR951083,OR951083.1,"MAG: Bat astrovirus isolate YN2020_321_4129 polyprotein 1b-like gene, complete sequence",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,1056,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,YN2020_321_4129,China,NA,2020,swab,Miniopterus schreibersii,Yes,0
OR951082,OR951082.1,MAG: Bat astrovirus isolate Pool-313 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,6574,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,Pool-313,China,NA,2020,swab,Chiroptera sp.,Yes,0
OR951081,OR951081.1,"MAG: Bat astrovirus isolate Pool-312 polyprotein 1a and polyprotein 1b genes, complete cds",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,3410,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,Pool-312,China,NA,2020,swab,Hipposideros sp.,Yes,2
OR951080,OR951080.1,"MAG: Bat astrovirus isolate HB2020_306_19370 polyprotein 1a, polyprotein 1b, and capsid protein precursor, genes, complete cds",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,6680,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,HB2020_306_19370,China,NA,2020,swab,Rhinolophus sinicus,Yes,3
OR951079,OR951079.1,"MAG: Bat astrovirus isolate HB2020_303_11589 polyprotein 1a, polyprotein 1b, and capsid protein precursor, genes, complete cds",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,6677,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,HB2020_303_11589,China,NA,2020,swab,Rhinolophus ferrumequinum,Yes,3
OR951078,OR951078.1,"MAG: Bat astrovirus isolate ZJ2020 polyprotein 1b-like gene, complete sequence",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,897,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,ZJ2020,China,NA,2020,swab,Rhinolophus pusillus,Yes,0
OR951077,OR951077.1,"MAG: Bat astrovirus isolate GX2016 polyprotein 1b-like gene, complete sequence",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,1256,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,GX2016,China,NA,2016,swab,Taphozous sp.,Yes,0
OR951076,OR951076.1,MAG: Mamastrovirus 12 isolate GX2016 sequence,18-SEP-2025,Mamastrovirus 12,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus vespertilionis,Mamastrovirus vespertilionis,Astroviridae,2246,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,GX2016,China,NA,2016,swab,Taphozous sp.,Yes,0
OR951075,OR951075.1,MAG: Mamastrovirus 15 isolate GX2016 sequence,18-SEP-2025,Mamastrovirus 15,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus taphozoi,Mamastrovirus taphozoi,Astroviridae,3793,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,GX2016,China,NA,2016,swab,Taphozous sp.,Yes,0
OR951074,OR951074.1,MAG: Bat astrovirus isolate GD2016_278_174689 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,6612,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,GD2016_278_174689,China,NA,2016,swab,Myotis chinensis,Yes,0
OR951073,OR951073.1,"MAG: Bat astrovirus isolate GD2016_278_122035 polyprotein 1b-like gene, complete sequence",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,1940,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,GD2016_278_122035,China,NA,2016,swab,Myotis chinensis,Yes,0
OR951072,OR951072.1,MAG: Bat astrovirus isolate GD2016_278_110098 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,3658,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,GD2016_278_110098,China,NA,2016,swab,Myotis chinensis,Yes,0
OR951071,OR951071.1,"MAG: Bat astrovirus isolate GD2017_276_23535 polyprotein 1b gene, partial cds",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,1568,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,GD2017_276_23535,China,NA,2017,swab,Myotis laniger,Yes,1
OR951070,OR951070.1,"MAG: Bat astrovirus isolate HI2019 polyprotein 1b-like gene, complete sequence",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,918,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,HI2019,China,NA,2019,swab,Miniopterus schreibersii,Yes,0
OR951069,OR951069.1,"MAG: Bat astrovirus isolate YN2017 polyprotein 1b-like gene, complete sequence",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,1905,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,YN2017,China,NA,2017,swab,Rousettus leschenaultii,Yes,0
OR951068,OR951068.1,MAG: Bat astrovirus isolate YN2016_267_21909 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,5701,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,YN2016_267_21909,China,NA,2016,swab,Rousettus leschenaultii,Yes,0
OR951067,OR951067.1,"MAG: Bat astrovirus isolate JX2020_265_22422 polyprotein 1b-like gene, complete sequence",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,1330,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,JX2020_265_22422,China,NA,2020,swab,Myotis adversus,Yes,0
OR951066,OR951066.1,"MAG: Bat astrovirus isolate GX2016_254_7024 polyprotein 1b gene, partial cds",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,1238,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,GX2016_254_7024,China,NA,2016,swab,Myotis siligorensis,Yes,1
OR951065,OR951065.1,MAG: Bat astrovirus isolate GD2016_246_49388 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,2279,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,GD2016_246_49388,China,NA,2016,swab,Hipposideros pomona,Yes,0
OR951064,OR951064.1,"MAG: Bat astrovirus isolate GX2017_243_51168 polyprotein 1b-like gene, complete sequence",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,1265,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,GX2017_243_51168,China,NA,2017,swab,Taphozous melanopogon,Yes,0
OR951063,OR951063.1,MAG: Bat astrovirus isolate GX2017_243_49312 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,1636,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,GX2017_243_49312,China,NA,2017,swab,Taphozous melanopogon,Yes,0
OR951062,OR951062.1,"MAG: Mamastrovirus 15 isolate GX2017 polyprotein 1b gene, partial cds",18-SEP-2025,Mamastrovirus 15,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus taphozoi,Mamastrovirus taphozoi,Astroviridae,1194,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,GX2017,China,NA,2017,swab,Taphozous melanopogon,Yes,1
OR951061,OR951061.1,"MAG: Bat astrovirus isolate GX2016_241_123441 polyprotein 1b gene, partial cds",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,1015,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,GX2016_241_123441,China,NA,2016,swab,Taphozous melanopogon,Yes,1
OR951060,OR951060.1,MAG: Bat astrovirus isolate GX2016 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,3485,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,GX2016,China,NA,2016,swab,Taphozous melanopogon,Yes,0
OR951059,OR951059.1,MAG: Bat astrovirus isolate GD2016_230_3862 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,4283,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,GD2016_230_3862,China,NA,2016,swab,Miniopterus pusillus,Yes,0
OR951058,OR951058.1,MAG: Bat astrovirus isolate GD2016_229_11066 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,3624,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,GD2016_229_11066,China,NA,2016,swab,Miniopterus pusillus,Yes,0
OR951057,OR951057.1,"MAG: Bat astrovirus isolate GD2016_228_4463 polyprotein 1b-like gene, complete sequence",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,1372,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,GD2016_228_4463,China,NA,2016,swab,Miniopterus pusillus,Yes,0
OR951056,OR951056.1,MAG: Bat astrovirus isolate YN2016_218_5311 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,2063,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,YN2016_218_5311,China,NA,2016,swab,Myotis pilosus,Yes,0
OR951055,OR951055.1,MAG: Bat astrovirus isolate JX2020 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,6276,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,JX2020,China,NA,2020,swab,Myotis pilosus,Yes,0
OR951054,OR951054.1,"MAG: Bat astrovirus isolate JX2020_217_22524 polyprotein 1b-like gene, complete sequence",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,672,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,JX2020_217_22524,China,NA,2020,swab,Myotis pilosus,Yes,0
OR951053,OR951053.1,"MAG: Myotis ricketti associated fish astrovirus isolate JX2020 polyprotein 1a, polyprotein 1b, and capsid protein precursor, genes, complete cds",18-SEP-2025,Myotis ricketti associated fish astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,7098,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,JX2020,China,NA,2020,swab,fish,Yes,3
OR951052,OR951052.1,MAG: Myotis ricketti associated fish astrovirus isolate GX2017 sequence,18-SEP-2025,Myotis ricketti associated fish astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,4056,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,GX2017,China,NA,2020,swab,fish,Yes,0
OR951051,OR951051.1,"MAG: Bat astrovirus isolate GD2020 polyprotein 1b gene, partial cds",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,1175,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,GD2020,China,NA,2020,swab,Myotis pilosus,Yes,1
OR951050,OR951050.1,"MAG: Bat astrovirus isolate GD2019 polyprotein 1b-like gene, complete sequence",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,1629,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,GD2019,China,NA,2019,swab,Myotis pilosus,Yes,0
OR951049,OR951049.1,MAG: Bat astrovirus isolate GD2017_211_130439 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,6099,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",NA,GD2017_211_130439,China,NA,2017,swab,Myotis pilosus,Yes,0
